Gebied;Locatienummer;Locatienaam;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;
Sallandse Heuvelrug;3;Grote Koningsbelt;4,6;4,1;4,0;4,2;4,5;4,0;5,0;5,5;4,2;4,8;4,1;5,3;5,2;
Sallandse Heuvelrug;4;Holterheide;;4,2;3,4;4,3;4,1;3,6;4,4;4,3;3,8;4,4;3,7;4,8;4,6;
Sallandse Heuvelrug;5;Sikkelbosch;;3,3;3,6;3,8;2,9;3,1;4,0;3,8;3,5;4,1;3,4;4,1;4,2;
Sallandse Heuvelrug;6;Hexel;;3,3;3,8;4,3;5,6;3,6;3,9;3,7;4,1;4,5;4,0;4,9;4,2;
Sarsven & De Banen;1;Sarsven;11,6;7,3;8,2;7,7;10,5;12,5;9,9;9,8;9,4;10,5;8,5;9,9;9,3;
Sarsven & De Banen;2;De Banen;12,6;8,8;10,2;8,6;10,4;10,4;8,6;8,8;8,5;9,2;8,1;10,1;10,5;
Schiermonnikoog;1;Meteo Groenglop;;;;;;;;5,1;4,7;6,1;5,5;5,8;4,6;
Schiermonnikoog;2;Kooiduinen;;;;;;;;3,6;3,5;4,3;3,3;3,7;3,4;
Schiermonnikoog;3;Monding Eerste Slenk;;;;;;;;4,1;3,4;4,1;3,0;3,9;3,3;
Schiermonnikoog;4;Oosterkwelder;;;;;;;;2,4;2,7;2,5;1,7;2,2;2,0;
Schiermonnikoog;5;Om de West;;;;;;;;2,0;1,7;2,3;1,8;2,0;2,1;
Schiermonnikoog;6;Paardenwei;;;;;;;;1,8;2,1;2,6;1,4;2,2;2,9;
Schokland;1;Vluchthavenpad;;;;;;;;;;;5,7;5,8;6,3;
Sint Pietersberg;1;Kannerweide;;;;;;;;4,4;3,7;4,2;3,9;4,4;4,6;
Sint Pietersberg;2;Graftlucerneakker;;;;;;;;4,2;3,6;4,2;3,8;4,1;4,2;
Sint Pietersberg;3;Plateau Noord;;;;;;;;4,4;3,5;3,8;3,6;4,1;4,1;
Sneekermeergebied;1;Kop Bloksloot;;;;;;;;;;;5,2;7,8;6,7;
Springendal;1;NAM;4,3;4,4;4,4;4,6;4,9;4,2;5,4;5,3;4,8;5,4;4,6;5,5;5,6;
Springendal;2;Zuid;;5,6;5,0;6,1;5,7;5,8;7,2;6,5;5,7;6,2;4,9;6,5;6,1;
Stelkampsveld;1;Middelste eik;5,9;5,4;4,1;4,8;5,7;5,3;6,7;6,2;5,8;6,4;5,5;6,5;6,7;
Stelkampsveld;2;Berk;6,6;;;;;;;;;;;;;
Stelkampsveld;3;Beekvliet/Maandagsdijk;5,6;5,1;4,4;4,9;5,3;4,7;5,6;5,3;5,3;5,9;5,0;6,5;6,2;
Stippelberg;1;Heistraat;;;;;;;;;;;;18,1;16,5;
Stippelberg;2;Beugense Peel;;;;;;;;;;;;8,8;9,1;
Stippelberg;3;De Krim;;;;;;;;;;;;11,6;10,6;
Stippelberg;4;Klotterpeel;;;;;;;;;;;;9,7;7,4;
Stippelberg;5;Snelle Loop;;;;;;;;;;;;10,1;11,1;
Stippelberg;6;Heibloem;;;;;;;;;;;;11,9;10,2;
Stippelberg;7;De Rooije Plas;;;;;;;;;;;;13,9;10,5;
Strabrechtse Heide;1;Hoenderboom;6,0;5,8;5,9;5,3;7,2;5,0;5,7;4,8;4,3;6,4;6,0;7,3;7,0;
Strabrechtse Heide;2;Lobeliabaai;5,0;4,5;5,5;5,6;5,7;5,3;6,0;4,9;5,2;6,0;5,3;6,7;6,0;
Strabrechtse Heide;3;Beuven-noordoostoever;5,2;4,9;6,0;5,6;5,4;4,7;5,7;4,8;4,7;6,4;5,6;6,9;6,3;
