station;2012;2013;2014;2015
De Zilk;14.912;15.358;18.931;11.688
Eibergen;20.095;21.489;15.584;
Huijbergen;9.103;8.513;8.435;7.602
Valthermond;16.613;16.493;15.82;12.702
Vredepeel;1.926;1.929;2.276;2.118
Wekerom;2.808;3.224;;
Wieringerwerf;9.379;6.658;;
Zegveld;4.419;5.85;5.761;4.629
De Rips - Blaarpeelweg;34.243;35.024;52.13;34.604
De Rips - Klotterpeellaan;4.69;4.839;5.882;4.425
