Nummer,Naam,Longitude,Latitude
1, Monument Asten,5.795203,51.348521
2, Eeuwselse Loop, 5.831396,51.356422
3, Filose Peel, 5.833343,51.349315
4, Zevende Baan, 5.812775, 51.342832
5, Gele Route, 5.799670, 51.329752
6, Steltlopersven, 5.812067, 51.352058
7, Laars Elfde Ven, 5.818449,51.347924
8, Filose Peel Ven, 5.829246, 51.351362
9, Amslo Berg, 5.822441, 51.331630
